,categorie,motAnglais,traductionGoogle,traductionMaison,deuxiemeTraduction,troisiemeTraduction,quatriemeTraduction,francaisAsterisque,francaisAsterisque2,anglaisAsterisque,initiales,notes
22,macroeconomics,deficit,déficit,NA,NA,NA,NA,déficit*,NA,deficit*,AFC,
23,macroeconomics,deflation,déflation,NA,NA,NA,NA,déflation*,NA,deflation*,AFC,
24,macroeconomics,demographic change,changement démographique,NA,NA,NA,NA,changement* démographique*,NA,demographic change*,AFC,
25,macroeconomics,distribution of income,répartition de salaire,répartition du revenu,NA,NA,NA,répartition* d* revenu*,NA,distribution of income*,AFC,
26,macroeconomics,european central bank,banque centrale européenne,NA,NA,NA,NA,NA,NA,NA,AFC,
27,macroeconomics,federal reserve,réserve fédérale,NA,NA,NA,NA,NA,NA,NA,AFC,
28,macroeconomics,fiscal,fiscal,NA,NA,NA,NA,fisca*,NA,fiscal*,AFC,
29,macroeconomics,gini coefficien,gini coefficien,coefficien de gini,indic de gini,NA,NA,coefficien* de gini,indic* de gini,gini coefficien*,AFC,
30,macroeconomics,gold standard,étalon-or,NA,étalon or,NA,NA,NA,NA,NA,AFC,
31,macroeconomics,government spending,les dépenses du gouvernement,dépense gouvernementale,dépenses gouvernementales,dépense du gouvernement,dépenses du gouvernement,dépense* gouvernementale*,dépense* du gouvernement,government* spending*,AFC,ajout des pluriels anglo francos
32,macroeconomics,gst,gst,tps,NA,NA,NA,NA,NA,NA,AFC,
33,macroeconomics,hst,hst,tvh,NA,NA,NA,NA,NA,NA,AFC,
34,macroeconomics,hyperinflation,hyperinflation,NA,NA,NA,NA,hyperinflation*,NA,hyperinflation*,AFC,
35,macroeconomics,income distribution,la répartition des revenus,répartition des revenus,redistribution des revenus,NA,NA,répartition* des revenus,redistribution* des revenus,income* distribution*,AFC,modification
36,macroeconomics,income inequalit,inégalité des revenus,inégalit des revenus,NA,NA,NA,inégalit* des revenus,NA,income inequalit*,AFC,
37,macroeconomics,inflation,inflation,NA,NA,NA,NA,inflation*,NA,inflation*,AFC,
38,macroeconomics,interest rate,taux d’intérêt,NA,NA,NA,NA,taux d'intérêt*,NA,interest rate*,AFC,
39,macroeconomics,monetar,monetar,monétair,NA,NA,NA,monétaire*,NA,monetar*,AFC,ajout du e en francais
40,macroeconomics,money supply,rentrée d'argent,masse monétaire,NA,NA,NA,NA,NA,NA,AFC,
41,macroeconomics,population boom,boom démographique,NA,NA,NA,NA,boom démographique*,NA,population boom*,AFC,
42,macroeconomics,population growth,croissance démographique,NA,NA,NA,NA,croissance* démographique*,NA,population growth*,AFC,ajout des pluriels anglo francos
43,macroeconomics,population trend,tendance de la population,tendance démographique,NA,NA,NA,tendance* démographique*,NA,population trend*,AFC,
44,macroeconomics,price ceiling,plafond des prix,prix plafond,NA,NA,NA,prix plafond*,NA,price* ceiling*,AFC,ajout des pluriels anglo francos
45,macroeconomics,price control,contrôle des prix,NA,NA,NA,NA,contrôle* des prix,NA,price* control*,AFC,ajout des pluriels anglo francos
46,macroeconomics,price floor,prix plancher,NA,NA,NA,NA,prix plancher*,NA,price* floor*,AFC,ajout des pluriels anglo francos
47,macroeconomics,price index,indice des prix,NA,NA,NA,NA,NA,NA,NA,AFC,
48,macroeconomics,price indices,indices de prix,NA,NA,NA,NA,NA,NA,NA,AFC,
49,macroeconomics,price level,niveau de prix,niveau des prix,NA,NA,NA,NA,NA,NA,AFC,
50,macroeconomics,quantitative easing,assouplissement quantitatif,NA,NA,NA,NA,assouplissement quantitatif*,NA,quantitative easing*,AFC,ajout des pluriels anglo francos
51,macroeconomics,recession,récession,NA,NA,NA,NA,récession*,NA,recession*,AFC,
52,macroeconomics,macroeconom,macroéconomie,macroéconom,NA,NA,NA,macroéconom*,NA,macroeconom*,AFC,
53,macroeconomics,microeconom,microéconomie,microéconom,NA,NA,NA,microéconom*,NA,microeconom*,AFC,
54,macroeconomics,productivity,productivité,NA,NA,NA,NA,NA,NA,NA,AFC,
55,macroeconomics,supply and demand,l'offre et la demande,NA,NA,NA,NA,NA,NA,NA,AFC,
56,macroeconomics,supply shock,choc d'approvisionnement,choc d'offre,NA,NA,NA,NA,NA,NA,AFC,
57,macroeconomics,supply side,côté de l'offre,NA,NA,NA,NA,NA,NA,NA,AFC,
58,macroeconomics,supply-side,côté de l'offre,axé sur l'offre,NA,NA,NA,axé* sur l'offre,NA,NA,AFC,moi je mettrais la même chose qu'en haut (58)
59,macroeconomics,cost of living,coût de la vie,NA,cout de la vie,NA,NA,NA,NA,NA,AFC,
60,macroeconomics,revenue,revenu,NA,NA,NA,NA,revenu*,NA,revenue*,AFC,ajout des pluriels anglo francos
61,macroeconomics,supply of money,fourniture d'argent,offre de monnaie,NA,NA,NA,offre* de monnaie*,NA,suppl* of money,AFC,ajout des pluriels anglo francos
62,macroeconomics,unemploy,le chomage,chôm,chom,NA,NA,chom*,chôm*,unemploy*,AFC,juste avec accent selon moi
63,macroeconomics,labour market,marché du travail,NA,NA,NA,NA,marché* du travail,NA,labour market*,AFC,
64,macroeconomics,tax,impôt,NA,taxe,NA,NA,NA,NA,NA,AFC,
65,macroeconomics,taxes,les taxes,taxes,impôts,NA,NA,NA,NA,NA,AFC,
66,macroeconomics,taxation,Imposition,taxation,imposition,NA,NA,taxation*,imposition*,NA,AFC,ajout pluriel en francais
67,macroeconomics,standard of living,standard de vie,niveau de vie,NA,NA,NA,niveau* de vie,NA,standard* of living,AFC,ajout des pluriels anglo francos
68,macroeconomics,living standard,niveau de vie,qualité de vie,NA,NA,NA,qualité* de vie,NA,living standard*,AFC,ajout des pluriels anglo francos
69,macroeconomics,gross national product,Produit National brut,produit national brut,NA,NA,NA,produit* nationa* brut*,NA,gross national product*,AFC,ajout des pluriels anglo francos
70,macroeconomics,gross domestic product,produit intérieur brut,NA,NA,NA,NA,produit* intérieur* brut*,NA,gross domestic product*,AFC,
71,macroeconomics,gdp,pib,NA,NA,NA,NA,NA,NA,NA,AFC,
72,macroeconomics,keynesian,keynésien,NA,NA,NA,NA,keynésien*,NA,keynesian*,AFC,
73,macroeconomics,austerity,austérité,NA,NA,NA,NA,NA,NA,NA,AFC,
74,macroeconomics,lendor of last resort,prêteur de dernier recours,NA,prêteur* de dernier instance,NA,NA,prêteur* de dernier recours,prêteur* de dernier instance,lendor* of last resort,AFC,ajout de mots
75,macroeconomics,jobless,sans emploi,NA,NA,NA,NA,NA,NA,NA,AFC,
76,macroeconomics,jobs,emplois,NA,NA,NA,NA,emploi*,NA,job*,AFC,ajout des pluriels anglo francos
77,macroeconomics,nationalize,nationaliser,NA,NA,NA,NA,nationalis*,NA,nationalize*,AFC,ajout conjugaison anglo francos
78,macroeconomics,nationalise,nationaliser,x,NA,NA,NA,nationalis*,NA,nationalise*,AFC,same
79,macroeconomics,nationalization,nationalisation,NA,NA,NA,NA,nationalisation*,NA,nationalisation*,AFC,
80,macroeconomics,nationalisation,nationalisation,x,NA,NA,NA,nationalisation*,NA,nationalization*,AFC,ajout des pluriels anglo francos
81,macroeconomics,privatiz,privatisation,x,NA,NA,NA,privatis*,NA,privatiz*,AFC,ajout des pluriels anglo francos
82,macroeconomics,privatis,privatis,NA,NA,NA,NA,privatis*,NA,privatis*,AFC,ajout des pluriels anglo francos
83,civil_rights,civil right,droit civil,NA,droit civique,NA,NA,droit* civi*,NA,civil right*,AFC,
84,civil_rights,ableism,le capacitisme,capacitisme,NA,NA,NA,capacitisme*,validisme*,ableism*,AFC,ajout conjugaison anglo francos
85,civil_rights,abortion,Avortement,avortement,NA,NA,NA,avortement*,NA,abortion*,AFC,
86,civil_rights,access to info,accès à l'information,accès à l'info,NA,NA,NA,accès à l'info*,NA,access to info*,AFC,
87,civil_rights,african american,Afro-américain,afro-américain,NA,NA,NA,afro-américain*,NA,african american*,AFC,
88,civil_rights,anti-choice,anti-choix,NA,NA,NA,NA,NA,NA,NA,AFC,
89,civil_rights,anti-semit,antisémite,antisémit,NA,NA,NA,antisémit*,NA,anti-semit*,AFC,
90,civil_rights,bill 101,facture 101,loi 101,NA,NA,NA,NA,NA,NA,AFC,
91,civil_rights,charter of the french language,charte de la langue française,NA,NA,NA,NA,NA,NA,NA,AFC,
92,civil_rights,biphobi,biphobi,biphob,NA,NA,NA,biphob*,NA,biphobi*,AFC,
93,civil_rights,bisexual,bisexuel,NA,NA,NA,NA,bisexuel*,NA,bisexual*,AFC,
94,civil_rights,charter of rights,charte des droits,NA,NA,NA,NA,charte* des droits,NA,charter* of rights,AFC,ajout des pluriels anglo francos
95,civil_rights,civil libert,liberté civile,libert civil,NA,NA,NA,libert* civil*,NA,civil libert*,AFC,
96,civil_rights,disabilit,handicapé,handica,NA,NA,NA,handica*,NA,disabilit*,AFC,
97,civil_rights,discriminat,discriminer,discrimin,NA,NA,NA,discrimin*,NA,discriminat*,AFC,
98,civil_rights,diversity,la diversité,diversité,NA,NA,NA,NA,NA,NA,AFC,
99,civil_rights,equal employm,travail égal,égalité à l'empl,NA,NA,NA,égalité à l'empl*,NA,equal employm*,AFC,
100,civil_rights,equal opportunit,égalité des chances,égalité des chanc,NA,NA,NA,égalité* des chances,NA,equal opportunit*,AFC,
101,civil_rights,equal right,l'égalité des droits,droit égal,égalité des droits,NA,NA,droit* éga*,égalité* des droits,equal right*,AFC,selon moi la trad google est bonne
102,civil_rights,equalit,égalité,égalit,NA,NA,NA,égalit*,NA,equalit*,AFC,
103,civil_rights,ethnic,ethnique,NA,NA,NA,NA,ethni*,NA,ethnic*,AFC,
104,civil_rights,ethnocentrism,ethnocentrisme,NA,NA,NA,NA,ethnocentrisme*,NA,ethnocentrism*,AFC,ajout des pluriels anglo francos
105,civil_rights,first nations,premières nations,NA,NA,NA,NA,première* nation*,NA,first nation*,AFC,ajout des pluriels anglo francos
106,civil_rights,first peoples,premiers peuples,NA,NA,NA,NA,premier* peuple*,NA,first people*,AFC,ajout des pluriels anglo francos
107,civil_rights,freedom of expression,liberté d'expression,NA,NA,NA,NA,NA,NA,NA,AFC,
108,civil_rights,freedom of speech,liberté d'expression,liberté de parole,NA,NA,NA,NA,NA,NA,AFC,selon moi la trad google est bonne
109,civil_rights,freedom of association,liberté d'association,NA,NA,NA,NA,NA,NA,NA,AFC,pluriel?
110,civil_rights,freedom of assembly,la liberté de réunion,liberté de réunion,NA,NA,NA,NA,NA,NA,AFC,pluriel?
111,civil_rights,freedom of the press,liberté de la presse,NA,NA,NA,NA,NA,NA,NA,AFC,
112,civil_rights,gay,gay,gai,NA,NA,NA,gai*,NA,gay*,AFC,ajout conjugaison anglo francos
113,civil_rights,gender,Le sexe HOMME ou FEMME,genre,NA,NA,NA,genr*,NA,gender*,AFC,
114,civil_rights,glbt,glbt,lgbt,NA,NA,NA,NA,NA,NA,AFC,
115,civil_rights,glbtq,glbtq,lgbtq,NA,NA,NA,lgbtq*,NA,glbtq*,AFC,correction
116,civil_rights,hate crime,crime de haine,crime haineux,NA,NA,NA,crime* haineux,NA,hate crime*,AFC,
117,civil_rights,headscar,foulard,foular,voil,NA,NA,foular*,voil*,headscar*,AFC,volie seulement non ?
118,civil_rights,hijab,hijab,NA,NA,NA,NA,hijab*,NA,hijab*,AFC,ajout conjugaison anglo francos
119,civil_rights,niqab,niqab,NA,NA,NA,NA,niqab*,NA,niqab*,AFC,ajout conjugaison anglo francos
120,civil_rights,nikab,nikab,NA,NA,NA,NA,nikab*,NA,nikab*,AFC,ajout conjugaison anglo francos
121,civil_rights,burqa,burqa,NA,NA,NA,NA,burqa*,NA,burqa*,AFC,ajout conjugaison anglo francos
122,civil_rights,burka,burka,NA,NA,NA,NA,burka*,NA,burka*,AFC,ajout conjugaison anglo francos
123,civil_rights,hispanic,hispanique,NA,NA,NA,NA,hispanique*,NA,hispanic*,AFC,
124,civil_rights,holocaust deni,holocauste,négationn,NA,NA,NA,négationn*,NA,holocaust deni*,AFC,
125,civil_rights,homophobi,homophobi,homophob,NA,NA,NA,homophob*,NA,homophob*,AFC,
126,civil_rights,homosexual,homosexuel,NA,NA,NA,NA,homosexuel*,NA,homosexual*,AFC,
127,civil_rights,human right,droit humain,NA,droit de l'homme,NA,NA,droit* humain*,droit* de l'homme,human right*,AFC,
128,civil_rights,indian act,acte indien,loi sur les indiens,NA,NA,NA,NA,NA,NA,AFC,
129,civil_rights,inequalit,inégalité,inégalit,NA,NA,NA,inégalit*,NA,inequalit*,AFC,
130,civil_rights,intercultural,interculturel,NA,NA,NA,NA,intercultur*,NA,intercultural*,AFC,
131,civil_rights,intersex,intersexe,NA,NA,NA,NA,intersex*,NA,intersex*,AFC,
132,civil_rights,inuit,inuit,NA,NA,NA,NA,inuit*,NA,NA,AFC,
133,civil_rights,islamophob,Islamophob,islamophob,NA,NA,NA,islamophob*,NA,islamophob*,AFC,
134,civil_rights,language right,droit de la langue,droit linguistique,NA,NA,NA,droit* linguistique*,NA,language right*,AFC,
135,civil_rights,latina,latina,NA,NA,NA,NA,latina*,NA,latina*,AFC,
136,civil_rights,latino,latino,NA,NA,NA,NA,latino*,NA,latino*,AFC,
137,civil_rights,lesbian,lesbienne,NA,NA,NA,NA,lesbien*,NA,lesbian*,AFC,
138,civil_rights,lgbt,lbt,lgbt,NA,NA,NA,NA,NA,NA,AFC,
139,civil_rights,lgbtq,lgbtq,NA,NA,NA,NA,lgbtq*,NA,lgbtq*,AFC,
140,civil_rights,life begins at,la vie commence à,NA,NA,NA,NA,NA,NA,NA,AFC,
141,civil_rights,minorit,minorité,minorit,NA,NA,NA,minorit*,NA,minorit*,AFC,
142,civil_rights,native american,Américain de naissance,amérindien,NA,NA,NA,amérindien*,NA,native american*,AFC,
143,civil_rights,official bilingualism,bilinguisme officiel,NA,NA,NA,NA,NA,NA,NA,AFC,
144,civil_rights,people of color,les personnes de couleur,personnes de couleur,personnes racisées,NA,NA,NA,NA,NA,AFC,
145,civil_rights,people of colour,les gens de couleur,gens de couleur,NA,NA,NA,NA,NA,NA,AFC,
146,civil_rights,person of color,personne de couleur,personne de couleur,personne racisée,NA,NA,NA,NA,NA,AFC,
147,civil_rights,person of colour,personne de couleur,x,NA,NA,NA,NA,NA,NA,AFC,
148,civil_rights,privacy,intimité,NA,NA,NA,NA,NA,NA,NA,AFC,
149,civil_rights,pro choice,choix professionnel,pro-choix,NA,NA,NA,NA,NA,NA,AFC,
150,civil_rights,pro life,anti-avortement,pro-vie,NA,NA,NA,NA,NA,NA,AFC,
151,civil_rights,pro-choice,pro-choix,x,NA,NA,NA,NA,NA,NA,AFC,
152,civil_rights,pro-life,anti-avortement,x,NA,NA,NA,NA,NA,NA,AFC,
153,civil_rights,racism,racisme,NA,NA,NA,NA,racisme*,NA,racism*,AFC,ajout des pluriels anglo francos
154,civil_rights,rights,droits,NA,NA,NA,NA,NA,NA,NA,AFC,
155,civil_rights,same-sex,le même sexe,même sexe,NA,NA,NA,NA,NA,NA,AFC,
156,civil_rights,sexism,sexisme,NA,NA,NA,NA,sexisme*,NA,sexism*,AFC,ajout conjugaison anglo francos
157,civil_rights,sexual orientation,orientation sexuelle,NA,NA,NA,NA,orientation* sexuelle*,NA,sexual orientation*,AFC,
158,civil_rights,sexualit,sexualité,sexualit,NA,NA,NA,sexualit*,NA,sexualit*,AFC,
159,civil_rights,transexual,transsexuel,NA,NA,NA,NA,transsexu*,NA,transexual*,AFC,
160,civil_rights,transgender,transgenres,transgenre,NA,NA,NA,transgenre*,NA,transgender*,AFC,
161,civil_rights,transphobi,transphobi,transphob,NA,NA,NA,transphob*,NA,transphobi*,AFC,
162,civil_rights,transsexual,transsexuel,x,NA,NA,NA,NA,NA,NA,AFC,
163,civil_rights,voter registration,registre de vote,inscription électorale,NA,NA,NA,inscription* électorale*,NA,voter* registration*,AFC,ajout des pluriels anglo francos
164,civil_rights,voting age,âge de voter,âge de vote,NA,NA,NA,âge de vote*,NA,NA,AFC,
165,civil_rights,voting right,droit de vote,NA,NA,NA,NA,NA,NA,NA,AFC,
166,civil_rights,xenophobi,xénophobi,xénophob,NA,NA,NA,xénophob*,NA,xenophobi*,AFC,
167,civil_rights,obscenit,obscénité,obsénit,NA,NA,NA,obscénité*,NA,obscenit*,AFC,ajout des pluriels anglo francos
168,healthcare,aids,sida,NA,NA,NA,NA,NA,NA,NA,AFC,ajout du e en francais
169,healthcare,alcoholism,alcoolisme,NA,NA,NA,NA,alcoolisme*,NA,NA,AFC,ajout pluriel francais
170,healthcare,allerg,allergie,allerg,NA,NA,NA,allerg*,NA,allerg*,AFC,
171,healthcare,anaesthesiolog,anesthésiologie,anesthésiolog,NA,NA,NA,anesthésiolog*,NA,anaesthesiolog*,AFC,
172,healthcare,anesthesiolog,anesthésiologie,x,NA,NA,NA,NA,NA,anesthesiolog*,AFC,
173,healthcare,cancer,cancer,NA,NA,NA,NA,cancer*,NA,cancer*,AFC,
174,healthcare,cardiolog,cardiologue,cardiolog,NA,NA,NA,cardiolog*,NA,cardiolog*,AFC,
175,healthcare,cardiothoracic,cardiothoracique,NA,NA,NA,NA,cardiothoracique*,NA,NA,AFC,
176,healthcare,cardiovascular,cardiovasculaire,NA,NA,NA,NA,cardiovasculaire*,NA,NA,AFC,
177,healthcare,cigarette,cigarette,NA,NA,NA,NA,cigarette*,NA,cigarette*,AFC,
178,healthcare,dermatolog,dermatologue,dermatolog,NA,NA,NA,dermatolog*,NA,dermatolog*,AFC,
179,healthcare,dietic,diététique,diétét,NA,NA,NA,diétét*,NA,dietic*,AFC,
180,healthcare,disease,maladie,NA,NA,NA,NA,maladie*,NA,disease*,AFC,
181,healthcare,disorder,désordre,NA,NA,NA,NA,désordre*,NA,disorder*,AFC,
182,healthcare,doctor,médecin,docteur,NA,NA,NA,docteur*,NA,doctor*,AFC,
183,healthcare,drug treatment,traitement médical,NA,NA,NA,NA,traitement* médica*,NA,drug treatment*,AFC,ajout des pluriels anglo francos
184,healthcare,drug abuse,abus de drogue,NA,NA,NA,NA,abus de drogue*,NA,drug* abuse*,AFC,ajout des pluriels anglo francos
185,healthcare,endocrin,endocrin,NA,NA,NA,NA,endocrin*,NA,endocrin*,AFC,
186,healthcare,gastroenterolog,gastroentérologie,gastroentérolog,NA,NA,NA,gastroentérolog*,NA,gastroenterolog*,AFC,
187,healthcare,geriatric,gériatrique,NA,NA,NA,NA,gériatique*,NA,geriatric*,AFC,
188,healthcare,gerontolog,gérontolog,NA,NA,NA,NA,gérontolog*,NA,gerontolog*,AFC,
189,healthcare,gynaecolog,gynécologue,gynécolog,NA,NA,NA,gynécolog*,NA,gynaecolog*,AFC,
190,healthcare,gynecolog,gynécologue,x,NA,NA,NA,NA,NA,gynecolog*,AFC,
191,healthcare,haematolog,hématologie,hématolog,NA,NA,NA,hématolog*,NA,haematolog*,AFC,
192,healthcare,health,santé,NA,NA,NA,NA,NA,NA,NA,AFC,ouin…
193,healthcare,hematolog,hématologie,x,NA,NA,NA,NA,NA,hematolog*,AFC,
194,healthcare,hepatolog,hépatologie,hépatolog*,NA,NA,NA,hépatolog*,NA,hepatolog*,AFC,
195,healthcare,hiv,HIV,vih,NA,NA,NA,NA,NA,NA,AFC,
196,healthcare,hiv/aids,vih / sida,vih/sida,NA,NA,NA,NA,NA,NA,AFC,
197,healthcare,hiv positive,VIH positif,séropositif,NA,NA,NA,séropositi*,NA,NA,AFC,
198,healthcare,hiv negative,VIH négatif,séronégatif,NA,NA,NA,séronégati*,NA,NA,AFC,
199,healthcare,hiv-positive,VIH positif,x,NA,NA,NA,NA,NA,NA,AFC,
200,healthcare,hiv-negative,VIH négatif,x,NA,NA,NA,NA,NA,NA,AFC,
201,healthcare,hospital,hôpital,NA,NA,NA,NA,NA,NA,NA,AFC,
202,healthcare,hospitals,les hôpitaux,hôpitaux,NA,NA,NA,NA,NA,NA,AFC,
203,healthcare,illness,maladies,x,NA,NA,NA,maladie*,NA,illness*,AFC,ajout pluriel francais
204,healthcare,immunis,immunis,NA,NA,NA,NA,immunis*,NA,immunis*,AFC,
205,healthcare,immuniz,immunisé,NA,NA,NA,NA,NA,NA,immuniz*,AFC,
206,healthcare,immunolog,immunolog,NA,NA,NA,NA,immunolog*,NA,immunolog*,AFC,
207,healthcare,infectious,infectieux,NA,NA,NA,NA,infectieu*,NA,NA,AFC,
208,healthcare,intensive care,soins intensifs,NA,NA,NA,NA,NA,NA,NA,AFC,
209,healthcare,maxillofacial,maxillofacial,NA,NA,NA,NA,maxillofacial*,NA,NA,AFC,ajout pluriel francais
210,healthcare,medical,médical,NA,médicaux,NA,NA,médica*,NA,NA,AFC,francais *
211,healthcare,medicare,assurance-maladie,medicare,NA,NA,NA,NA,NA,NA,AFC,
212,healthcare,medicaid,medicaid,NA,NA,NA,NA,NA,NA,NA,AFC,
213,healthcare,nephrolog,néphrolog,NA,NA,NA,NA,néphrolog*,NA,nephrolog*,AFC,
214,healthcare,neurolog,neurologue,NA,NA,NA,NA,neurolog*,NA,neurolog*,AFC,
215,healthcare,neurosurger,neurosurger,neurochirur,NA,NA,NA,neurochirurg*,NA,neurosurger*,AFC,
216,healthcare,nicotine,nicotine,NA,NA,NA,NA,NA,NA,NA,AFC,
217,healthcare,nurs,infirmière,infirm,NA,NA,NA,infirm*,NA,nurs*,AFC,
218,healthcare,obstetric,obstétrique,NA,NA,NA,NA,obstétri*,NA,obstetric*,AFC,
219,healthcare,oncolog,oncologie,oncolog,NA,NA,NA,oncolog*,NA,oncolog*,AFC,
220,healthcare,opthalmolog,ophtalmolog,NA,NA,NA,NA,ophtalmolog*,NA,ophtalmolog*,AFC,
221,healthcare,orthodont,orthodonte,orthodont,NA,NA,NA,orthodont*,NA,orthodont*,AFC,
222,healthcare,orthopaedic,orthopédique,NA,NA,NA,NA,orthopédi*,NA,orthopaedic*,AFC,
223,healthcare,orthopedic,orthopédique,x,NA,NA,NA,NA,NA,orthopedic*,AFC,
224,healthcare,palliative,palliatif,NA,NA,NA,NA,palliati*,NA,NA,AFC,
225,healthcare,patholog,patholog,NA,NA,NA,NA,patholog*,NA,patholog*,AFC,
226,healthcare,pediatric,pédiatrique,NA,NA,NA,NA,pédiatr*,NA,pediatric*,AFC,
227,healthcare,pharmac,pharmacie,pharmac,NA,NA,NA,pharmac*,NA,pharmac*,AFC,
228,healthcare,physician,médecin,NA,NA,NA,NA,médecin*,NA,physician*,AFC,
229,healthcare,prescription,ordonnance,NA,NA,NA,NA,ordonnance*,NA,prescription*,AFC,
230,healthcare,primary care,premiers soins,NA,NA,NA,NA,NA,NA,NA,AFC,
231,healthcare,proctolog,proctolog,NA,NA,NA,NA,proctolog*,NA,proctolog*,AFC,
232,healthcare,psychiatr,psychiatre,psychiatr,NA,NA,NA,psychiatr*,NA,psychiatr*,AFC,
233,healthcare,pulmonol,pulmonol,NA,NA,NA,NA,pulmonol*,NA,pulmonol*,AFC,
234,healthcare,radiolog,radiolog,NA,NA,NA,NA,radiolog*,NA,radiolog*,AFC,
235,healthcare,radiotherap,radiothérapie,radiothérap,NA,NA,NA,radiothérap*,NA,radiotherap*,AFC,
236,healthcare,respiratory,respiratoire,NA,NA,NA,NA,respiratoire*,NA,NA,AFC,
237,healthcare,rheumatolog,rhumatologie,rhumatolog,NA,NA,NA,rhumatolog*,NA,rheumatolog*,AFC,
238,healthcare,sickness,maladie,x,NA,NA,NA,maladie*,NA,sickness*,AFC,ajout pluriel francais
239,healthcare,surgeon,chirurgien,NA,NA,NA,NA,chirurgien*,NA,surgeon*,AFC,
240,healthcare,surger,chirurgien,chirurg,NA,NA,NA,chirurg*,NA,surger*,AFC,
241,healthcare,surgical,chirurgical,NA,NA,NA,NA,chirurigica*,NA,surgical*,AFC,
242,healthcare,syndrome,syndrome,NA,NA,NA,NA,syndrome*,NA,syndrome*,AFC,
243,healthcare,therap,thérapie,thérap,NA,NA,NA,thérap*,NA,therap*,AFC,
244,healthcare,tobacco,le tabac,tabac,NA,NA,NA,tabac*,NA,tobacco*,AFC,ajout des pluriels anglo francos
245,healthcare,urolog,urologue,urolog,NA,NA,NA,urolog*,NA,urolog*,AFC,
246,healthcare,vaccin,vaccin,vacci,NA,NA,NA,vacci*,NA,vaccin*,AFC,
247,healthcare,vascular,vasculaire,NA,NA,NA,NA,vasculaire*,NA,NA,AFC,
248,healthcare,drunk driving,alcool au volant,NA,NA,NA,NA,NA,NA,NA,AFC,
249,healthcare,medicine,médicament,NA,NA,NA,NA,médicament*,NA,NA,AFC,
250,healthcare,dentist,dentiste,NA,NA,NA,NA,dentiste*,NA,dentist*,AFC,
251,healthcare,dental,dentaire,NA,NA,NA,NA,dentaire*,NA,NA,AFC,
252,healthcare,epidemic,épidémie,NA,NA,NA,NA,épidémie*,NA,epidemic*,AFC,
253,healthcare,pandemic,pandémie,NA,NA,NA,NA,pandémique*,NA,pandemic*,AFC,
254,healthcare,tuberculosis,tuberculose,NA,NA,NA,NA,NA,NA,NA,AFC,
255,healthcare,obesity,obésité,NA,NA,NA,NA,obésité*,NA,obesit*,AFC,ajout des pluriels anglo francos
256,healthcare,obese,obèse,NA,NA,NA,NA,obèse*,NA,NA,AFC,
257,healthcare,euthanasia,euthanasie,NA,NA,NA,NA,euthanasie*,NA,euthanasia*,AFC,ajout pluriel anglais
258,healthcare,in vitro fertilization,la fécondation in vitro,fécondation in vitro,fécondation in-vitro,NA,NA,fécondation* in*vitro,NA,in vitro fertilization*,AFC,ajout pluriel anglais
259,healthcare,contracept,contraceptif,contracept,NA,NA,NA,contracept*,NA,contracept*,AFC,
